selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
AD000092_cds7_s_at,"leukemia_base_0001_3, leukemia_base_0001_9, leukemia_base_0001_22, leukemia_base_0002_2, leukemia_base_0002_6","[1.0, 0.968, 0.971, 1.0, 1.0]","[733.0, 650.0, 690.0, 683.0, 671.0]",5
AD000684_cds1_at,"leukemia_base_0001_8, leukemia_base_0001_28, leukemia_base_0002_24, leukemia_base_0002_25","[1.0, 0.971, 1.0, 1.0]","[715.0, 669.0, 683.0, 716.0]",4
AD001527_cds1_at,"leukemia_base_0001_14, leukemia_base_0001_26, leukemia_base_0002_0, leukemia_base_0002_2, leukemia_base_0002_8, leukemia_base_0002_12, leukemia_base_0002_23, leukemia_base_0002_24, leukemia_base_0008_11, leukemia_base_0011_22","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.891, 0.969]","[700.0, 644.0, 685.0, 683.0, 694.0, 693.0, 726.0, 683.0, 62.0, 38.0]",10
AF000177_at,"leukemia_base_0001_3, leukemia_base_0001_15, leukemia_base_0001_23, leukemia_base_0001_28, leukemia_base_0002_4, leukemia_base_0002_14, leukemia_base_0002_16, leukemia_base_0009_28","[1.0, 1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 0.984]","[733.0, 720.0, 646.0, 669.0, 669.0, 700.0, 650.0, 65.0]",8
AF000231_at,"leukemia_base_0001_4, leukemia_base_0001_8, leukemia_base_0001_18, leukemia_base_0002_0, leukemia_base_0002_16","[0.971, 1.0, 1.0, 1.0, 1.0]","[654.0, 715.0, 690.0, 685.0, 650.0]",5
AF000234_at,"leukemia_base_0001_0, leukemia_base_0001_1, leukemia_base_0001_3, leukemia_base_0001_8, leukemia_base_0002_0, leukemia_base_0002_1, leukemia_base_0002_14, leukemia_base_0002_16","[1.0, 1.0, 1.0, 1.0, 1.0, 0.984, 1.0, 1.0]","[680.0, 700.0, 733.0, 715.0, 685.0, 681.0, 700.0, 650.0]",8
AF000424_s_at,"leukemia_base_0001_0, leukemia_base_0002_17, leukemia_base_0002_24, leukemia_base_0012_5, leukemia_base_0012_16","[1.0, 1.0, 1.0, 1.0, 1.0]","[680.0, 689.0, 683.0, 64.0, 56.2]",5
AF000430_at,"leukemia_base_0001_19, leukemia_base_0002_26, leukemia_base_0003_1, leukemia_base_0003_2, leukemia_base_0006_6, leukemia_base_0009_11, leukemia_base_0012_8, leukemia_base_0012_17","[1.0, 1.0, 1.0, 1.0, 1.0, 0.969, 1.0, 1.0]","[676.0, 711.0, 660.0, 657.0, 70.0, 60.0, 64.0, 63.0]",8
AF000545_at,"leukemia_base_0001_1, leukemia_base_0001_7, leukemia_base_0001_17, leukemia_base_0001_21, leukemia_base_0002_18, leukemia_base_0002_20, leukemia_base_0002_26","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[700.0, 692.0, 722.0, 704.0, 730.0, 647.0, 711.0]",7
AF000560_at,"leukemia_base_0001_10, leukemia_base_0001_13","[0.971, 1.0]","[679.0, 682.0]",2
