selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
att_211,"mandelon_base_0017_5, mandelon_base_0023_8, mandelon_base_0023_12, mandelon_base_0023_28","[0.76, 0.763, 0.812, 0.748]","[36.0, 36.0, 31.0, 36.0]",4
att_212,mandelon_base_0017_7,[0.697],[41.0],1
att_213,"mandelon_base_0017_15, mandelon_base_0023_13, mandelon_base_0023_17, mandelon_base_0023_21","[0.76, 0.76, 0.785, 0.818]","[39.0, 39.0, 36.0, 31.0]",4
att_214,"mandelon_base_0017_1, mandelon_base_0023_21","[0.71, 0.818]","[36.0, 31.0]",2
att_215,"mandelon_base_0017_12, mandelon_base_0023_19, mandelon_base_0023_27","[0.715, 0.745, 0.687]","[45.0, 41.0, 31.0]",3
att_216,mandelon_base_0023_11,[0.758],[44.0],1
att_218,"mandelon_base_0017_6, mandelon_base_0023_1, mandelon_base_0023_3, mandelon_base_0023_14, mandelon_base_0023_25","[0.778, 0.768, 0.768, 0.788, 0.76]","[32.0, 41.0, 35.0, 36.0, 36.0]",5
att_219,"mandelon_base_0023_2, mandelon_base_0023_15, mandelon_base_0023_18, mandelon_base_0023_21","[0.723, 0.755, 0.81, 0.818]","[41.0, 36.0, 33.0, 31.0]",4
att_22,"mandelon_base_0017_5, mandelon_base_0017_12, mandelon_base_0017_14, mandelon_base_0023_0, mandelon_base_0023_23","[0.76, 0.715, 0.763, 0.697, 0.772]","[36.0, 45.0, 36.0, 36.0, 31.0]",5
att_220,mandelon_base_0023_4,[0.665],[45.0],1
att_221,"mandelon_base_0023_2, mandelon_base_0023_7","[0.723, 0.79]","[41.0, 33.0]",2
att_222,"mandelon_base_0017_1, mandelon_base_0017_17, mandelon_base_0023_4","[0.71, 0.728, 0.665]","[36.0, 38.0, 45.0]",3
att_223,"mandelon_base_0017_9, mandelon_base_0017_17, mandelon_base_0023_2, mandelon_base_0023_11, mandelon_base_0023_19","[0.71, 0.728, 0.723, 0.758, 0.745]","[38.0, 38.0, 41.0, 44.0, 41.0]",5
att_224,mandelon_base_0023_23,[0.772],[31.0],1
att_225,"mandelon_base_0017_16, mandelon_base_0023_3","[0.747, 0.768]","[35.0, 35.0]",2
att_226,"mandelon_base_0017_14, mandelon_base_0023_4, mandelon_base_0023_13, mandelon_base_0023_16","[0.763, 0.665, 0.76, 0.697]","[36.0, 45.0, 39.0, 45.0]",4
att_227,"mandelon_base_0017_6, mandelon_base_0017_11, mandelon_base_0023_1, mandelon_base_0023_11, mandelon_base_0023_17, mandelon_base_0023_22","[0.778, 0.695, 0.768, 0.758, 0.785, 0.707]","[32.0, 41.0, 41.0, 44.0, 36.0, 41.0]",6
att_228,mandelon_base_0017_2,[0.73],[44.0],1
att_229,"mandelon_base_0023_0, mandelon_base_0023_9, mandelon_base_0023_17","[0.697, 0.775, 0.785]","[36.0, 36.0, 36.0]",3
att_23,"mandelon_base_0017_13, mandelon_base_0023_11","[0.78, 0.758]","[31.0, 44.0]",2
